0.0,0.0,101,45,106,0,90
-5.0,-2.0,155,67,68,27,90
-5.0,-1.0,147,56,83,25,90
-5.0,0.0,143,41,106,21,90
-5.0,1.0,137,36,106,32,90
-5.0,2.0,133,31,106,46,90
-5.0,3.0,131, 12, 135, 45, 90
-5.0,4.0,127,0,137,63,90
-4.0,-2.0,148,68,68,17,90
-4.0,-1.0,141,58,83,18,90
-4.0,0.0,135,43,106,12,90
-4.0,1.0,132,39,106,25,90
-4.0,2.0,127,34,106,37,90
-4.0,3.0,119,13,135,37,90
-4.0,4.0,122,0,142,52,90
-3.0,-2.0,140,70,68,9,90
-3.0,-1.0,134,58,83,10,90
-3.0,0.0,128,47,106,7,90
-3.0,1.0,119,41,106,19,90
-3.0,2.0,120,35,106,32,90
-3.0,3.0,120,16,135,30,90
-3.0,4.0,117,5,142,46,90
-2.0,-2.0,129,73,65,4,90
-2.0,-1.0,125,57,83,5,90
-2.0,0.0,120,47,106,4,90
-2.0,1.0,117,41,106,13,90
-2.0,2.0,113,37,106,28,90
-2.0,3.0,115,16,135,25,90
-2.0,4.0,111,6,142,42,90
-1.0,-2.0,114,76,58,4,90
-1.0,-1.0,116,54,83,2,90
-1.0,0.0,112,45,106,0,90
-1.0,1.0,108,41,106,11,90
-1.0,2.0,107,38,106,25,90
-1.0,3.0,107,16,135,25,90
-1.0,4.0,106,8,142,36,90
0.0,-2.0,101,82,54,4,90
0.0,-1.0,100,58,83,0,90
0.0,1.0,98,47,106,11,90
0.0,1.0,98,47,106,11,90
0.0,2.0,99,42,106,25,90
0.0,3.0,98,24,135,25,90
0.0,4.0,99,17,142,36,90
1.0,-2.0,81,76,58,4,90
1.0,-1.0,84,54,83,2,90
1.0,0.0,85,46,106,0,90
1.0,1.0,91,41,106,11,90
1.0,2.0,90,37,106,25,90
1.0,3.0,91,16,135,25,90
1.0,4.0,86,7,142,36,90
2.0,-2.0,70,67,68,4,90
2.0,-1.0,72,57,83,5,90
2.0,0.0,75,45,106,4,90
2.0,1.0,77,39,106,15,90
2.0,2.0,77,37,106,28,90
2.0,3.0,80,16,135,25,90
2.0,4.0,81,4,142,42,90
3.0,-2.0,56,65,68,10,90
3.0,-1.0,64,53,83,10,90
3.0,0.0,65,45,106,8,90
3.0,1.0,68,39,106,19,90
3.0,2.0,75,35,106,32,90
3.0,3.0,74,13,135,32,90
3.0,4.0,76,3,142,46,90
4.0,-2.0,48,63,68,17,90
4.0,-1.0,59,54,83,18,90
4.0,0.0,58,39,106,12,90
4.0,1.0,66,39,106,25,90
4.0,2.0,64,31,106,40,90
4.0,3.0,68,12,135,37,90
4.0,4.0,67,0,142,52,90
5.0,-2.0,41,62,68,27,90
5.0,-1.0,46,52,83,25,90
5.0,0.0,52,42,106,21,90
5.0,1.0,55,40,106,33,90
5.0,2.0,57,34,106,46,90
5.0,3.0,62,11,135,45,90
5.0,4.0,64,0,136,63,90
