11.0, 11.0,162,153,175,123,90
12.0, 12.0,100, 109,180,170,90
13.0,13.0,31,169,143,95,90
0.0,0.0,95,41,105,0,90
0.0,1.0,97,43,105,12,90
-5.0,-2.0,150,67,68,27,90
2.0,0.0,73,41,106,4,90
-2.0,0.0,117,44,106,4,90
-1.0,0.0,106,44,106,2,90
3.0,0.0,65,40,106,8,90
-3.0,0.0,126,43,106,8,90
-4.0,0.0,134,44,106,17,90
-5.0,0.0,138,39,106,25,90
5.0,0.0,50,37,106,25,90
0.0,1.0,97,43,105,12,90
-1.0,1.0,106,40,108,15,90
1.0,1.0,86,40,108,15,90
2.0,1.0,77,41,106,18,90
-2.0,1.0,113,41,106,17,90
-3.0,1.0,121,40,106,24,90
3.0,1.0,70,40,106,25,90
4.0,1.0,62,37,106,29,90
-4.0,1.0,130,42,106,26,90
5.0,1.0,56,35,106,38,90
-6.0,0.0,147,39,106,31,90
6.0,0.0,45,33,106,31,90
4.0,0.0,56,39,106,18,90
1.0,0.0,83,40,106,0,90
-5.0,1.0,134,37,106,36,90
-6.0,1.0,142,34,106,42,90
6.0,1.0,49,31,106,42,90
0.0,2.0,95,49,87,41,99
-1.0,2.0,102,47,87,42,115
1.0,2.0,86,56,63,60,102
6.0,-1.0,42,50,83,36,90
-6.0,-1.0,152,55,83,36,90
2.0,2.0,79,37,105,33,90
-2.0,2.0,112,41,99,37,102
-3.0,2.0,119,39,103,36,104
3.0,2.0,71,39,97,42,90
4.0,2.0,66,43,85,59,87
-4.0,2.0,125,33,112,41,104
-5.0,2.0,131,32,109,50,90
5.0,2.0,60,34,95,62,85
0.0,3.0,95,22,135,26,90
-1.0,3.0,103,21,135,30,90
1.0,3.0,87,18,135,30,90
2.0,3.0,80,20,135,31,90
-2.0,3.0,111,21,135,30,90
3.0,3.0,74,18,135,37,90
-3.0,3.0,116,20,135,34,90
-4.0,3.0,122,18,135,39,90
4.0,3.0,68,16,135,43,90
-5.0,3.0,129,24,118,59,102
5.0,3.0,62,13,135,49,90
0.0,4.0,93,10,144,38,90
-1.0,4.0,103,11,142,40,90
1.0,4.0,88,6,150,39,91
2.0,4.0,82,11,140,49,90
-2.0,4.0,109,6,142,42,90
-3.0,4.0,115,5,142,50,90
3.0,4.0,75,14,121,60,85
-4.0,4.0,121,9,131,74,90
4.0,4.0,70,2,144,54,90
-5.0,4.0,126,9,131,74,90
5.0,4.0,65,0,141,77,98
0.0,-1.0,95,59,79,5,90
-1.0,-1.0,109,57,83,3,90
1.0,-1.0,82,54,83,2,90
-2.0,-1.0,119,57,83,5,90
2.0,-1.0,70,56,83,5,90
3.0,-1.0,60,55,83,12,90
-3.0,-1.0,131,57,83,12,90
-4.0,-1.0,138,58,83,18,90
4.0,-1.0,52,54,83,19,90
-5.0,-1.0,145,55,83,29,90
5.0,-1.0,46,52,83,27,90
0.0,-2.0,96,78,54,7,90
-1.0,-2.0,109,76,58,6,90
1.0,-2.0,80,74,58,4,90
-2.0,-2.0,124,70,65,7,90
2.0,-2.0,67,65,68,4,90
3.0,-2.0,56,65,68,10,90
-3.0,-2.0,136,70,68,9,90
-4.0,-2.0,145,70,68,17,90
4.0,-2.0,47,65,68,17,90
5.0,-2.0,40,62,68,30,90
-6.0,-2.0,158,63,68,36,90
6.0,-2.0,36,60,68,36,90
-9.0,-0.0,94,131,161,101,90
6.0,4.0,59,0,136,97,93
6.0,3.0,54,17,113,81,93
6.0,2.0,53,33,102,64,97
-6.0,2.0,140,29,125,48,101
-6.0,3.0,133,13,146,55,101
