                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4362,                 2.0418,                 2.0004,                0.47816,                 0.4262,                0.42561,                0.27185,                 1.4747,                 2.0349,                 2.1271,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.3828,                 1.9852,                 1.9435,                0.54728,                 0.4346,                 0.4626,                0.30298,                 1.3678,                 1.9556,                 2.0629,               0.000467,               0.000467,               0.000467
                     36,                 1.3841,                 2.0084,                 1.9449,                 0.5695,                0.40715,                0.46381,                0.30438,                 1.3907,                 1.9772,                 2.0766,              0.0004387,              0.0004387,              0.0004387
                     37,                  1.382,                 1.9544,                 1.9288,                0.63334,                 0.4063,                0.48328,                0.31604,                 1.3751,                 1.8853,                 2.0641,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.3586,                 1.8816,                 1.9107,                0.43365,                0.46227,                0.43602,                0.28449,                 1.3927,                 1.9243,                 2.0649,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.3645,                 1.9273,                 1.9213,                0.43586,                0.44665,                0.44408,                0.27917,                 1.4181,                 1.9657,                 2.0994,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.3472,                 1.9168,                 1.9241,                0.57033,                0.44145,                0.49906,                0.33181,                 1.3443,                 1.7745,                 2.0257,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.3019,                 1.9172,                 1.9733,                0.63847,                  0.443,                0.52685,                0.34828,                 1.3962,                 1.9121,                 2.1086,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.2371,                 1.7738,                 1.9195,                0.53491,                0.50327,                0.50371,                0.32261,                 1.4123,                 1.8311,                 2.0897,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.2474,                 1.6983,                 1.9119,                0.65725,                0.48597,                0.53787,                0.35712,                 1.3626,                 1.7568,                 2.0244,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.2357,                 1.6935,                 1.8795,                0.59545,                0.50332,                0.54877,                0.37115,                 1.3098,                 1.7285,                 1.9574,             0.00021235,             0.00021235,             0.00021235
                     45,                 1.1822,                 1.6214,                 1.8345,                0.54605,                0.49429,                 0.5466,                0.37625,                 1.3223,                 1.7167,                 1.9799,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.1903,                 1.6103,                 1.8456,                0.50919,                0.55431,                0.56465,                0.37748,                 1.2945,                 1.6664,                 1.9498,             0.00015576,             0.00015576,             0.00015576
                     47,                   1.17,                 1.5795,                 1.8055,                0.52569,                0.54759,                0.55498,                0.37937,                 1.2755,                 1.6502,                 1.9288,             0.00012747,             0.00012747,             0.00012747
                     48,                 1.1279,                 1.5623,                 1.7728,                0.71242,                0.43349,                0.57056,                0.38912,                 1.2797,                 1.6481,                 1.9359,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 1.1408,                 1.5239,                 1.7936,                0.63808,                0.46928,                0.58735,                0.40509,                 1.2721,                 1.5932,                 1.9252,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                 1.1427,                 1.5441,                 1.7781,                0.58768,                 0.5392,                 0.5986,                0.40857,                  1.247,                 1.5732,                    1.9,             4.2584e-05,             4.2584e-05,             4.2584e-05
